ID_VENTA,DNI,Fecha
124069646,65917772,2023-12-11
433575306,11364882,2023-10-06
410618340,59447379,2025-12-29
716644546,46271648,2024-05-14
745745703,68549586,2024-05-31
633880593,60071781,2023-10-29
492796200,68107722,2023-09-04
361124864,85440897,2024-08-20
868953408,33399996,2025-02-22
844512127,84252077,2025-03-02
615278012,57634057,2024-06-02
646360344,22253286,2025-10-07
120641625,65313728,2023-12-14
365344014,77637060,2025-12-10
849416451,29883842,2025-01-25
338317218,20447780,2025-07-11
106139582,55843464,2024-11-19
866668046,13156964,2025-05-03
237406331,55569304,2024-02-03
176521877,78546305,2024-01-14
315714887,65764577,2023-11-16
220713763,10895675,2024-05-01
639484768,31985806,2024-10-17
649892211,87860944,2025-10-22
485544577,48463442,2025-03-14
126801088,97582477,2023-11-17
312538894,24212731,2025-01-01
868272351,87589393,2024-11-20
513401290,60331967,2023-09-08
392398246,80276077,2025-10-22
855689342,54277459,2024-05-29
107712542,41179867,2025-06-25
417355596,77004830,2025-11-15
110276184,84502287,2024-11-20
630410612,34941460,2023-09-05
264120077,89001711,2023-12-28
836986443,79556912,2024-08-28
476119088,15575299,2023-07-08
957833517,50443382,2023-11-02
633863385,30169228,2023-12-19
124428694,56939607,2023-12-03
990906198,55898017,2023-08-09
739870831,61809794,2024-08-18
708419228,11723644,2023-12-20
757170739,18172510,2024-06-15
954759560,69742158,2023-11-20
120003799,62089959,2025-03-31
284340355,11571578,2024-10-08
158837471,59358878,2024-09-10
855336984,78789724,2024-08-01
108364179,26308111,2025-08-02
570792680,93463170,2025-01-03
685706461,11854586,2025-02-10
489533555,76007041,2024-02-16
312491753,91884768,2023-12-17
256745149,83794219,2024-04-13
963500353,58893785,2025-10-25
557987889,98965748,2024-04-17
356926824,26023131,2024-06-26
829899603,30086955,2024-12-12
695594395,76423420,2024-07-12
324451633,55037522,2024-05-16
704048960,37280052,2024-06-22
385738975,31844669,2024-03-14
354233276,30152058,2025-09-29
358001211,22159555,2024-09-16
453869472,10447188,2024-10-26
453969614,10427478,2025-04-14
163635826,76580916,2023-10-14
914437285,91537381,2025-04-18
398921496,45470884,2023-12-12
423563073,64510936,2024-04-17
526678582,71856288,2025-10-28
484076198,34419248,2023-11-28
384947169,34739157,2023-12-04
434292630,60051617,2023-12-19
260598815,33617032,2024-11-26
931297943,33870933,2025-07-16
231419014,86724698,2023-06-27
606637280,79560520,2025-04-22
963637792,65465571,2023-12-26
796810463,66040258,2024-05-22
191647425,26125658,2025-09-10
680180390,96401238,2024-06-14
382679998,36181111,2023-11-27
728518606,93391156,2024-10-15
883568360,37097136,2025-12-12
598323536,28122849,2023-09-27
613251437,41304980,2024-06-04
941782741,86217417,2023-08-18
403427130,26825652,2025-05-20
433657307,78495151,2025-10-25
147022542,17946031,2025-08-02
110688399,67294324,2023-12-24
746455440,58849922,2025-08-31
740804501,81927530,2023-06-07
844560839,24437316,2023-06-11
842705629,19120630,2025-02-22
996873438,59823948,2024-09-17
859737828,95202399,2024-01-06
158636173,46900483,2025-07-16
710741374,69604549,2024-05-08
731807506,59484105,2025-07-04
564222748,51238983,2025-09-09
284662882,91922967,2023-09-25
706583231,51855622,2025-09-30
338565860,76103281,2025-01-23
321543030,16759784,2023-10-21
708266858,69801809,2024-08-21
655420905,39478936,2024-10-18
648499801,28263013,2025-09-02
158505862,93966941,2025-03-20
674530727,14107732,2023-07-07
548458382,90860331,2024-12-11
911063903,63276958,2023-10-24
176000512,34405532,2025-04-16
763382371,56859406,2024-04-01
721809139,50285267,2024-02-14
769235004,52319570,2025-05-09
804814910,20131252,2024-09-01
363379899,50378514,2024-11-27
697933185,15429276,2024-05-26
975570630,35464121,2024-11-23
118160778,20986633,2025-10-23
946266446,51139379,2025-08-04
785416078,54672009,2025-05-27
935163058,36965050,2024-06-21
453672823,30119524,2024-07-12
395319536,78987410,2024-05-25
767716094,55771840,2025-04-09
960850644,52862228,2024-01-16
207135901,42394499,2024-04-10
759764554,75046936,2023-10-14
138504485,87630247,2025-09-03
576867060,44783117,2024-07-23
389247188,81451748,2025-08-27
866025482,31258207,2023-12-07
278467827,48132593,2023-06-08
593044557,22317730,2025-09-21
545012432,80813909,2025-11-15
896562119,83749195,2023-10-06
427002657,98220779,2024-11-23
922676333,80328635,2024-06-18
958516252,79791958,2024-05-10
808309398,88979139,2024-04-25
136736459,53668842,2024-12-14
749971955,31972944,2025-01-03
752649115,65644837,2025-04-29
296754253,13297634,2023-08-21
929797739,98926763,2025-10-28
908417442,62134727,2024-04-28
683597943,82599566,2023-10-06
886539318,89762732,2025-04-17
507165101,52847333,2025-03-31
679003733,68739488,2023-10-10
512499916,52817143,2023-07-30
715636899,62274841,2024-04-11
827327752,26838976,2024-01-27
586664196,85882613,2024-02-11
943099581,17612671,2024-10-06
118590765,24740534,2023-07-17
575834339,25931267,2024-01-03
562929156,92514990,2024-04-01
766372759,14464105,2025-03-17
414284075,51453265,2024-11-24
643353451,80474288,2024-07-28
640086989,71800031,2024-02-29
876369289,72961139,2023-10-12
316601724,66821878,2024-06-21
827732174,39812232,2023-06-08
979931539,31760766,2024-08-27
618216183,88938508,2025-04-18
626261829,42439261,2024-08-01
988972015,73293001,2023-12-22
934522699,37980205,2025-01-22
279231917,87091361,2023-08-16
319723465,95880552,2024-03-23
480082934,31393071,2024-05-14
829307879,71129615,2023-08-18
691745020,11939649,2023-09-13
125661549,36161600,2024-04-27
394664300,19361547,2024-09-08
866042391,26416166,2023-08-27
361534442,45601684,2024-08-29
357541279,41637173,2025-10-05
559888141,47261984,2024-06-15
475432278,76796182,2025-02-07
672357706,69959530,2023-11-01
454427932,64163071,2025-07-20
428921483,43438102,2024-04-28
919285234,70478725,2025-07-24
153025393,24555499,2025-06-30
497013438,14043751,2023-07-08
924205238,82504592,2023-07-21
652943256,59389378,2023-10-16
946599142,63646441,2025-10-05
402298265,21061987,2024-12-08
880331473,72486080,2025-01-04
199307747,53990773,2023-12-17
279163314,69621461,2023-11-11
726883698,66993314,2024-11-17
965800438,26724426,2024-10-11
925589043,39254680,2023-06-19
324087504,92793434,2025-05-23
973526203,45194932,2025-05-02
584409028,95395534,2024-02-25
376533201,33622824,2023-07-28
729559364,10751511,2024-06-24
381905055,47081981,2024-01-11
700982888,74332645,2024-02-23
869012175,94717268,2025-12-12
180506663,93967175,2025-09-12
154514608,13774729,2025-04-27
361994477,63378317,2025-01-21
222346977,38906399,2025-02-06
678333825,43611781,2024-02-01
323781725,22385724,2025-11-13
707765066,43725100,2025-12-06
404173132,10785114,2024-10-18
183784111,30311846,2023-09-02
181969251,88119434,2024-05-16
873834080,54075670,2023-07-20
268559073,27234094,2024-05-12
245349568,93615786,2025-09-03
677308191,78478125,2025-02-14
954505597,13891665,2024-11-21
184546293,67543759,2025-10-13
832332555,87986517,2024-03-12
990341550,96764687,2025-06-05
289526295,98651619,2025-10-04
869613990,86610279,2023-08-16
725253775,47578312,2023-11-08
508331473,47912440,2025-05-15
576789478,19816031,2023-08-10
371645603,74061388,2024-06-07
738784185,74766398,2024-12-08
864599444,31295347,2025-08-20
410665974,16376051,2025-11-15
777325530,23197361,2024-10-28
610370821,26003366,2025-10-05
246492705,99051035,2025-06-01
209396180,65394748,2023-10-18
367654538,62662624,2025-06-27
475956866,22441767,2025-01-11
367066439,96219907,2024-05-26
858587392,67834433,2023-11-30
529451249,93305932,2024-03-24
693352095,71585572,2024-06-13
408856796,94146594,2023-09-25
486822172,57775195,2023-12-21
428541967,46220242,2024-09-11
945763558,61977469,2023-06-13
322995050,51875648,2025-10-22
589395451,94189871,2023-12-06
364900957,52437951,2023-07-18
665827132,15262745,2023-10-29
141040681,42921412,2025-12-10
745883011,90603363,2025-09-20
698655524,13588775,2023-12-10
779530560,62635304,2024-03-22
279042386,28403783,2025-12-18
165501462,60201798,2024-06-29
509299494,86207760,2025-01-08
218649997,83481234,2024-06-21
552281616,76960782,2025-02-19
615476016,11496065,2024-05-01
823293568,59338146,2025-09-15
509292335,64956043,2024-06-17
550551347,40256382,2023-10-02
514717754,78211111,2024-04-22
598166544,75979844,2024-10-17
212393900,89882596,2025-09-01
333520060,65757783,2025-08-27
538414091,23084106,2025-11-05
858091864,34926069,2025-06-26
909829710,16212119,2023-10-18
192939044,26501372,2025-10-27
796341098,61940632,2024-09-20
711217139,59728859,2025-02-18
690013802,36898306,2024-11-21
405067473,38866520,2025-10-14
273993571,22837546,2024-03-28
799613302,45008533,2025-09-08
802946646,43420396,2024-01-18
101621727,82244830,2025-03-06
141118634,47163516,2024-09-20
643049649,86913734,2025-09-03
849646981,56534660,2023-07-03
745815555,62573389,2023-08-16
603032376,87982445,2025-02-20
730329953,89014984,2025-10-10
140726521,69090121,2024-02-01
700307124,52349146,2024-04-06
635045936,44240820,2024-12-29
263070751,32979101,2024-06-15
907789362,48915677,2025-08-03
598399745,18164821,2023-08-02
517907571,27270188,2025-03-10
198620952,80843346,2024-09-23
736205552,45983791,2023-07-03
286682406,44253635,2025-05-25
100442414,16329991,2024-06-25
